text,DIET_entity,CRF_entity,MITIE_entity,groundtruth
i would like to find a flight from charlotte to las vegas that makes a stop in st. louis,"[{'start': 35, 'end': 44, 'value': 'charlotte', 'entity': 'fromloc.city_name'}, {'start': 48, 'end': 57, 'value': 'las vegas', 'entity': 'toloc.city_name'}, {'start': 79, 'end': 88, 'value': 'st. louis', 'entity': 'stoploc.city_name'}]","[{'start': 35, 'end': 44, 'value': 'charlotte', 'entity': 'fromloc.city_name'}, {'start': 48, 'end': 57, 'value': 'las vegas', 'entity': 'toloc.city_name'}, {'start': 79, 'end': 88, 'value': 'st. louis', 'entity': 'stoploc.city_name'}]","[{'start': 35, 'end': 44, 'value': 'charlotte', 'entity': 'fromloc.city_name'}, {'start': 48, 'end': 57, 'value': 'las vegas', 'entity': 'toloc.city_name'}, {'start': 79, 'end': 88, 'value': 'st. louis', 'entity': 'stoploc.city_name'}]","[{'start': 35, 'end': 44, 'value': 'charlotte', 'entity': 'fromloc.city_name'}, {'start': 48, 'end': 57, 'value': 'las vegas', 'entity': 'toloc.city_name'}, {'start': 79, 'end': 88, 'value': 'st. louis', 'entity': 'stoploc.city_name'}]"
on april first i need a ticket from tacoma to san jose departing before 7 am,"[{'start': 3, 'end': 8, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 9, 'end': 14, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 36, 'end': 42, 'value': 'tacoma', 'entity': 'fromloc.city_name'}, {'start': 46, 'end': 54, 'value': 'san jose', 'entity': 'toloc.city_name'}, {'start': 65, 'end': 71, 'value': 'before', 'entity': 'depart_time.time_relative'}, {'start': 72, 'end': 76, 'value': '7 am', 'entity': 'depart_time.time'}]","[{'start': 3, 'end': 8, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 9, 'end': 14, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 36, 'end': 42, 'value': 'tacoma', 'entity': 'fromloc.city_name'}, {'start': 46, 'end': 54, 'value': 'san jose', 'entity': 'toloc.city_name'}, {'start': 65, 'end': 71, 'value': 'before', 'entity': 'depart_time.time_relative'}, {'start': 72, 'end': 76, 'value': '7 am', 'entity': 'depart_time.time'}]","[{'start': 3, 'end': 8, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 9, 'end': 14, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 36, 'end': 42, 'value': 'tacoma', 'entity': 'fromloc.city_name'}, {'start': 46, 'end': 54, 'value': 'san jose', 'entity': 'toloc.city_name'}, {'start': 65, 'end': 71, 'value': 'before', 'entity': 'depart_time.time_relative'}, {'start': 72, 'end': 76, 'value': '7 am', 'entity': 'depart_time.time'}]","[{'start': 3, 'end': 8, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 9, 'end': 14, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 36, 'end': 42, 'value': 'tacoma', 'entity': 'fromloc.city_name'}, {'start': 46, 'end': 54, 'value': 'san jose', 'entity': 'toloc.city_name'}, {'start': 65, 'end': 71, 'value': 'before', 'entity': 'depart_time.time_relative'}, {'start': 72, 'end': 76, 'value': '7 am', 'entity': 'depart_time.time'}]"
on april first i need a flight going from phoenix to san diego,"[{'start': 3, 'end': 8, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 9, 'end': 14, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 42, 'end': 49, 'value': 'phoenix', 'entity': 'fromloc.city_name'}, {'start': 53, 'end': 62, 'value': 'san diego', 'entity': 'toloc.city_name'}]","[{'start': 3, 'end': 8, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 9, 'end': 14, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 42, 'end': 49, 'value': 'phoenix', 'entity': 'fromloc.city_name'}, {'start': 53, 'end': 62, 'value': 'san diego', 'entity': 'toloc.city_name'}]","[{'start': 3, 'end': 8, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 9, 'end': 14, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 42, 'end': 49, 'value': 'phoenix', 'entity': 'fromloc.city_name'}, {'start': 53, 'end': 62, 'value': 'san diego', 'entity': 'toloc.city_name'}]","[{'start': 3, 'end': 8, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 9, 'end': 14, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 42, 'end': 49, 'value': 'phoenix', 'entity': 'fromloc.city_name'}, {'start': 53, 'end': 62, 'value': 'san diego', 'entity': 'toloc.city_name'}]"
i would like a flight traveling one way from phoenix to san diego on april first,"[{'start': 32, 'end': 39, 'value': 'one way', 'entity': 'round_trip'}, {'start': 45, 'end': 52, 'value': 'phoenix', 'entity': 'fromloc.city_name'}, {'start': 56, 'end': 65, 'value': 'san diego', 'entity': 'toloc.city_name'}, {'start': 69, 'end': 74, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 75, 'end': 80, 'value': 'first', 'entity': 'depart_date.day_number'}]","[{'start': 32, 'end': 39, 'value': 'one way', 'entity': 'round_trip'}, {'start': 45, 'end': 52, 'value': 'phoenix', 'entity': 'fromloc.city_name'}, {'start': 56, 'end': 65, 'value': 'san diego', 'entity': 'toloc.city_name'}, {'start': 69, 'end': 74, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 75, 'end': 80, 'value': 'first', 'entity': 'depart_date.day_number'}]","[{'start': 32, 'end': 39, 'value': 'one way', 'entity': 'round_trip'}, {'start': 45, 'end': 52, 'value': 'phoenix', 'entity': 'fromloc.city_name'}, {'start': 56, 'end': 65, 'value': 'san diego', 'entity': 'toloc.city_name'}, {'start': 69, 'end': 74, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 75, 'end': 80, 'value': 'first', 'entity': 'depart_date.day_number'}]","[{'start': 32, 'end': 39, 'value': 'one way', 'entity': 'round_trip'}, {'start': 45, 'end': 52, 'value': 'phoenix', 'entity': 'fromloc.city_name'}, {'start': 56, 'end': 65, 'value': 'san diego', 'entity': 'toloc.city_name'}, {'start': 69, 'end': 74, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 75, 'end': 80, 'value': 'first', 'entity': 'depart_date.day_number'}]"
i would like a flight from orlando to salt lake city for april first on delta airlines,"[{'start': 27, 'end': 34, 'value': 'orlando', 'entity': 'fromloc.city_name'}, {'start': 38, 'end': 52, 'value': 'salt lake city', 'entity': 'toloc.city_name'}, {'start': 57, 'end': 62, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 63, 'end': 68, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 72, 'end': 86, 'value': 'delta airlines', 'entity': 'airline_name'}]","[{'start': 27, 'end': 34, 'value': 'orlando', 'entity': 'fromloc.city_name'}, {'start': 38, 'end': 52, 'value': 'salt lake city', 'entity': 'toloc.city_name'}, {'start': 57, 'end': 62, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 63, 'end': 68, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 72, 'end': 86, 'value': 'delta airlines', 'entity': 'airline_name'}]","[{'start': 27, 'end': 34, 'value': 'orlando', 'entity': 'fromloc.city_name'}, {'start': 38, 'end': 52, 'value': 'salt lake city', 'entity': 'toloc.city_name'}, {'start': 57, 'end': 62, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 63, 'end': 68, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 72, 'end': 86, 'value': 'delta airlines', 'entity': 'airline_name'}]","[{'start': 27, 'end': 34, 'value': 'orlando', 'entity': 'fromloc.city_name'}, {'start': 38, 'end': 52, 'value': 'salt lake city', 'entity': 'toloc.city_name'}, {'start': 57, 'end': 62, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 63, 'end': 68, 'value': 'first', 'entity': 'depart_date.day_number'}, {'start': 72, 'end': 86, 'value': 'delta airlines', 'entity': 'airline_name'}]"
i need a flight from toronto to newark one way leaving wednesday evening or thursday morning,"[{'start': 21, 'end': 28, 'value': 'toronto', 'entity': 'fromloc.city_name'}, {'start': 32, 'end': 38, 'value': 'newark', 'entity': 'toloc.city_name'}, {'start': 39, 'end': 46, 'value': 'one way', 'entity': 'round_trip'}, {'start': 55, 'end': 64, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 65, 'end': 72, 'value': 'evening', 'entity': 'depart_time.period_of_day'}, {'start': 76, 'end': 84, 'value': 'thursday', 'entity': 'depart_date.day_name'}, {'start': 85, 'end': 92, 'value': 'morning', 'entity': 'depart_time.period_of_day'}]","[{'start': 21, 'end': 28, 'value': 'toronto', 'entity': 'fromloc.city_name'}, {'start': 32, 'end': 38, 'value': 'newark', 'entity': 'toloc.city_name'}, {'start': 39, 'end': 46, 'value': 'one way', 'entity': 'round_trip'}, {'start': 55, 'end': 64, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 65, 'end': 72, 'value': 'evening', 'entity': 'depart_time.period_of_day'}, {'start': 76, 'end': 84, 'value': 'thursday', 'entity': 'depart_date.day_name'}, {'start': 85, 'end': 92, 'value': 'morning', 'entity': 'depart_time.period_of_day'}]","[{'start': 21, 'end': 28, 'value': 'toronto', 'entity': 'fromloc.city_name'}, {'start': 32, 'end': 38, 'value': 'newark', 'entity': 'toloc.city_name'}, {'start': 39, 'end': 46, 'value': 'one way', 'entity': 'round_trip'}, {'start': 55, 'end': 64, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 65, 'end': 72, 'value': 'evening', 'entity': 'depart_time.period_of_day'}, {'start': 76, 'end': 84, 'value': 'thursday', 'entity': 'depart_date.day_name'}, {'start': 85, 'end': 92, 'value': 'morning', 'entity': 'depart_time.period_of_day'}]","[{'start': 21, 'end': 28, 'value': 'toronto', 'entity': 'fromloc.city_name'}, {'start': 32, 'end': 38, 'value': 'newark', 'entity': 'toloc.city_name'}, {'start': 39, 'end': 46, 'value': 'one way', 'entity': 'round_trip'}, {'start': 55, 'end': 64, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 65, 'end': 72, 'value': 'evening', 'entity': 'depart_time.period_of_day'}, {'start': 76, 'end': 84, 'value': 'thursday', 'entity': 'depart_date.day_name'}, {'start': 85, 'end': 92, 'value': 'morning', 'entity': 'depart_time.period_of_day'}]"
monday morning i would like to fly from columbus to indianapolis,"[{'start': 1, 'end': 7, 'value': 'monday', 'entity': 'depart_date.day_name'}, {'start': 7, 'end': 14, 'value': 'morning', 'entity': 'depart_time.period_of_day'}, {'start': 40, 'end': 48, 'value': 'columbus', 'entity': 'fromloc.city_name'}, {'start': 52, 'end': 64, 'value': 'indianapolis', 'entity': 'toloc.city_name'}]","[{'start': 1, 'end': 7, 'value': 'monday', 'entity': 'depart_date.day_name'}, {'start': 7, 'end': 14, 'value': 'morning', 'entity': 'depart_time.period_of_day'}, {'start': 40, 'end': 48, 'value': 'columbus', 'entity': 'fromloc.city_name'}, {'start': 52, 'end': 64, 'value': 'indianapolis', 'entity': 'toloc.city_name'}]","[{'start': 1, 'end': 7, 'value': 'monday', 'entity': 'depart_date.day_name'}, {'start': 7, 'end': 14, 'value': 'morning', 'entity': 'depart_time.period_of_day'}, {'start': 40, 'end': 48, 'value': 'columbus', 'entity': 'fromloc.city_name'}, {'start': 52, 'end': 64, 'value': 'indianapolis', 'entity': 'toloc.city_name'}]","[{'start': 1, 'end': 7, 'value': 'monday', 'entity': 'depart_date.day_name'}, {'start': 7, 'end': 14, 'value': 'morning', 'entity': 'depart_time.period_of_day'}, {'start': 40, 'end': 48, 'value': 'columbus', 'entity': 'fromloc.city_name'}, {'start': 52, 'end': 64, 'value': 'indianapolis', 'entity': 'toloc.city_name'}]"
on wednesday april sixth i would like to fly from long beach to columbus after 3 pm,"[{'start': 3, 'end': 12, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 13, 'end': 18, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 19, 'end': 24, 'value': 'sixth', 'entity': 'depart_date.day_number'}, {'start': 50, 'end': 60, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 64, 'end': 72, 'value': 'columbus', 'entity': 'toloc.city_name'}, {'start': 73, 'end': 78, 'value': 'after', 'entity': 'depart_time.time_relative'}, {'start': 79, 'end': 83, 'value': '3 pm', 'entity': 'depart_time.time'}]","[{'start': 3, 'end': 12, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 13, 'end': 18, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 19, 'end': 24, 'value': 'sixth', 'entity': 'depart_date.day_number'}, {'start': 50, 'end': 60, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 64, 'end': 72, 'value': 'columbus', 'entity': 'toloc.city_name'}, {'start': 73, 'end': 78, 'value': 'after', 'entity': 'depart_time.time_relative'}, {'start': 79, 'end': 83, 'value': '3 pm', 'entity': 'depart_time.time'}]","[{'start': 3, 'end': 12, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 13, 'end': 18, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 19, 'end': 24, 'value': 'sixth', 'entity': 'depart_date.day_number'}, {'start': 50, 'end': 60, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 64, 'end': 72, 'value': 'columbus', 'entity': 'toloc.city_name'}, {'start': 73, 'end': 78, 'value': 'after', 'entity': 'depart_time.time_relative'}, {'start': 79, 'end': 83, 'value': '3 pm', 'entity': 'depart_time.time'}]","[{'start': 3, 'end': 12, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 13, 'end': 18, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 19, 'end': 24, 'value': 'sixth', 'entity': 'depart_date.day_number'}, {'start': 50, 'end': 60, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 64, 'end': 72, 'value': 'columbus', 'entity': 'toloc.city_name'}, {'start': 73, 'end': 78, 'value': 'after', 'entity': 'depart_time.time_relative'}, {'start': 79, 'end': 83, 'value': '3 pm', 'entity': 'depart_time.time'}]"
after 12 pm on wednesday april sixth i would like to fly from long beach to columbus,"[{'start': 1, 'end': 6, 'value': 'after', 'entity': 'depart_time.time_relative'}, {'start': 6, 'end': 11, 'value': '12 pm', 'entity': 'depart_time.time'}, {'start': 15, 'end': 24, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 25, 'end': 30, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 31, 'end': 36, 'value': 'sixth', 'entity': 'depart_date.day_number'}, {'start': 62, 'end': 72, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 76, 'end': 84, 'value': 'columbus', 'entity': 'toloc.city_name'}]","[{'start': 1, 'end': 6, 'value': 'after', 'entity': 'depart_time.time_relative'}, {'start': 6, 'end': 11, 'value': '12 pm', 'entity': 'depart_time.time'}, {'start': 15, 'end': 24, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 25, 'end': 30, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 31, 'end': 36, 'value': 'sixth', 'entity': 'depart_date.day_number'}, {'start': 62, 'end': 72, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 76, 'end': 84, 'value': 'columbus', 'entity': 'toloc.city_name'}]","[{'start': 1, 'end': 6, 'value': 'after', 'entity': 'depart_time.time_relative'}, {'start': 6, 'end': 11, 'value': '12 pm', 'entity': 'depart_time.time'}, {'start': 15, 'end': 24, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 25, 'end': 30, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 31, 'end': 36, 'value': 'sixth', 'entity': 'depart_date.day_number'}, {'start': 62, 'end': 72, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 76, 'end': 84, 'value': 'columbus', 'entity': 'toloc.city_name'}]","[{'start': 1, 'end': 6, 'value': 'after', 'entity': 'depart_time.time_relative'}, {'start': 6, 'end': 11, 'value': '12 pm', 'entity': 'depart_time.time'}, {'start': 15, 'end': 24, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 25, 'end': 30, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 31, 'end': 36, 'value': 'sixth', 'entity': 'depart_date.day_number'}, {'start': 62, 'end': 72, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 76, 'end': 84, 'value': 'columbus', 'entity': 'toloc.city_name'}]"
are there any flights from long beach to columbus on wednesday april sixth,"[{'start': 27, 'end': 37, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 41, 'end': 49, 'value': 'columbus', 'entity': 'toloc.city_name'}, {'start': 53, 'end': 62, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 63, 'end': 68, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 69, 'end': 74, 'value': 'sixth', 'entity': 'depart_date.day_number'}]","[{'start': 27, 'end': 37, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 41, 'end': 49, 'value': 'columbus', 'entity': 'toloc.city_name'}, {'start': 53, 'end': 62, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 63, 'end': 68, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 69, 'end': 74, 'value': 'sixth', 'entity': 'depart_date.day_number'}]","[{'start': 27, 'end': 37, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 41, 'end': 49, 'value': 'columbus', 'entity': 'toloc.city_name'}, {'start': 53, 'end': 62, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 63, 'end': 68, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 69, 'end': 74, 'value': 'sixth', 'entity': 'depart_date.day_number'}]","[{'start': 27, 'end': 37, 'value': 'long beach', 'entity': 'fromloc.city_name'}, {'start': 41, 'end': 49, 'value': 'columbus', 'entity': 'toloc.city_name'}, {'start': 53, 'end': 62, 'value': 'wednesday', 'entity': 'depart_date.day_name'}, {'start': 63, 'end': 68, 'value': 'april', 'entity': 'depart_date.month_name'}, {'start': 69, 'end': 74, 'value': 'sixth', 'entity': 'depart_date.day_number'}]"
