i would like to find a flight from charlotte to las vegas that makes a stop in st. louis,flight,flight,flight,flight
on april first i need a ticket from tacoma to san jose departing before 7 am,airfare,airfare,airfare,airfare
on april first i need a flight going from phoenix to san diego,flight,flight,flight,flight
i would like a flight traveling one way from phoenix to san diego on april first,flight,flight,flight,flight
i would like a flight from orlando to salt lake city for april first on delta airlines,flight,flight,flight,flight
i need a flight from toronto to newark one way leaving wednesday evening or thursday morning,flight,flight,flight,flight
monday morning i would like to fly from columbus to indianapolis,flight,flight,flight,flight
on wednesday april sixth i would like to fly from long beach to columbus after 3 pm,flight,flight,flight,flight
after 12 pm on wednesday april sixth i would like to fly from long beach to columbus,flight,flight,flight,flight
are there any flights from long beach to columbus on wednesday april sixth,flight,flight,flight,flight
find a flight from memphis to tacoma dinner,flight,flight,flight,flight
on next wednesday flight from kansas city to chicago should arrive in chicago around 7 pm return flight on thursday,flight,flight,flight,flight
show flight and prices kansas city to chicago on next wednesday arriving in chicago by 7 pm,flight+airfare,flight+airfare,flight+airfare,flight+airfare
flight on american from miami to chicago arrive in chicago about 5 pm,flight,flight,flight,flight
find flights arriving new york city next saturday,flight,flight,flight,flight
find nonstop flights from salt lake city to new york on saturday april ninth,flight,flight,flight,flight
show flights from burbank to milwaukee for today,flight,flight,flight,flight
show flights tomorrow evening from milwaukee to st. louis,flight,flight,flight,flight
show flights saturday evening from st. louis to burbank,flight,flight,flight,flight
show flights from burbank to st. louis on monday,flight,flight,flight,flight
show flights from burbank to milwaukee on monday,flight,flight,flight,flight
show flights tuesday evening from milwaukee to st. louis,flight,flight,flight,flight
show flights wednesday evening from st. louis to burbank,flight,flight,flight,flight
which flights travel from kansas city to los angeles,flight,flight,flight,flight
what flights travel from las vegas to los angeles,flight,flight,flight,flight
which flights travel from kansas city to los angeles on april ninth,flight,flight,flight,flight
which flights travel from las vegas to los angeles california and arrive on april ninth between 4 and 5 pm,flight,flight,flight,flight
which flights on us air go from orlando to cleveland,flight,flight,flight,flight
which flights travel from cleveland to indianapolis on april fifth,flight,flight,flight,flight
which flights travel from indianapolis to san diego on april fifth,flight,flight,flight,flight
which flights go from cleveland to indianapolis on april fifth,flight,flight,flight,flight
which flights travel from nashville to tacoma,flight,flight,flight,flight
does tacoma airport offer transportation from the airport to the downtown area,ground_service,ground_service,ground_service,ground_service
which flights travel from tacoma to san jose,flight,flight,flight,flight
what day of the week do flights from nashville to tacoma fly on,day_name,day_name,day_name,day_name
what are the flights from tacoma to san jose,flight,flight,flight,flight
what days of the week do flights from san jose to nashville fly on,day_name,day_name,day_name,day_name
what are the flights from tacoma to san jose,flight,flight,flight,flight
i need a flight that goes from boston to orlando,flight,flight,flight,flight
are there any flights from boston to orlando connecting in new york,flight,flight,flight,flight
are there any flights from boston to orlando connecting in columbus,flight,flight,flight,flight
does this flight serve dinner,flight,flight,flight,flight
i need a flight from charlotte to miami,flight,flight,flight,flight
i need a nonstop flight from miami to toronto,flight,flight,flight,flight
i need a nonstop flight from toronto to st. louis,flight,flight,flight,flight
i need a flight from toronto to st. louis,flight,flight,flight,flight
i need a flight from st. louis to charlotte,flight,flight,flight,flight
i need a flight on united airlines from la guardia to san jose,flight,flight,flight,flight
i need a flight from tampa to milwaukee,flight,flight,flight,flight
i need a flight from milwaukee to seattle,flight,flight,flight,flight
what meals are served on american flight 811 from tampa to milwaukee,meal,meal,meal,meal
what meals are served on american flight 665 673 from milwaukee to seattle,meal,meal,meal,meal
i need a flight from memphis to las vegas,flight,flight,flight,flight
i need a flight from las vegas to ontario,flight,flight,flight,flight
i need a flight from ontario to memphis,flight,flight,flight,flight
which flights go from milwaukee to tampa and stop in nashville,flight,flight,flight,flight
which flights leave newark after noon next saturday and arrive in los angeles,flight,flight,flight,flight
which flights leave detroit and arrive at st. petersburg around 9 am,flight,flight,flight,flight
which flights on northwest airline leave detroit and arrive at st. petersburg,flight,flight,flight,flight
which flights leave chicago next tuesday and arrive in detroit around 6 pm,flight,flight,flight,flight
show me round trip flights from chicago to detroit leaving next tuesday and returning the day after,flight,flight,flight,flight
which round trip flights leave chicago next tuesday around 6 pm and arrive in detroit,flight,flight,flight,flight
which round trip flights leave chicago next tuesday and arrive in detroit around 6 pm,flight,flight,flight,flight
which flights leave on monday from montreal and arrive in chicago in the morning,flight,flight,flight,flight
which flights leave chicago on april twelfth and arrive in indianapolis in the morning,flight,flight,flight,flight
which flights leave on wednesday april thirteenth from indianapolis and arrive in montreal in the morning,flight,flight,flight,flight
which flights leave april twelfth from indianapolis and arrive in montreal around 10 pm,flight,flight,flight,flight
i 'd like to go from long beach to st. louis and i 'd like to stop in dallas i 'd also like to have lunch during my flight,flight,flight,flight,flight
next wednesday i would like to leave kansas city on a trip to chicago which arrives in chicago around 7 pm,flight,flight,flight,flight
i would like to return from chicago around 7 pm to kansas city,flight,flight,flight,flight
i would like to leave this afternoon on an american flight from cincinnati to burbank,flight,flight,flight,flight
on sunday evening i would like to leave montreal quebec on a flight to san diego california,flight,flight,flight,flight
what are the flights on sunday from montreal quebec to san diego california,flight,flight,flight,flight
on tuesday are the flights from san diego california to indianapolis indiana i would like the flight to be in the afternoon,flight,flight,flight,flight
on thursday morning i would like a nonstop flight from indianapolis to toronto,flight,flight,flight,flight
on friday morning i would like to fly from toronto to montreal,flight,flight,flight,flight
i would like an early morning flight today from los angeles to charlotte,flight,flight,flight,flight
on wednesday night i would like a flight from charlotte to newark,flight,flight,flight,flight
on friday night i would like a flight from newark to los angeles,flight,flight,flight,flight
find a flight from tampa to montreal by way of new york,flight,flight,flight,flight
please find a flight from miami florida to las vegas nevada arriving before 4 o'clock pm,flight,flight,flight,flight
please find a flight from las vegas to michigan,flight,flight,flight,flight
please find a flight from detroit michigan to st. petersburg arriving before 10 pm,flight,flight,flight,flight
please find a flight from st. petersburg to miami on thursday,flight,flight,flight,flight
please find a flight from san diego to toronto on alaska airlines,flight,flight,flight,flight
please find the flights from columbus to houston with a layover in nashville tomorrow,flight,flight,flight,flight
please give me the flights from nashville to houston nonstop with dinner served,flight,flight,flight,flight
please find flights available from kansas city to newark,flight,flight,flight,flight
please find a flight that goes from kansas city to newark to orlando back to kansas city,flight,flight,flight,flight
please find a flight from kansas city to newark,flight,flight,flight,flight
please find a flight from newark to orlando,flight,flight,flight,flight
